Severity,Check,TenderKey,Authority,Detail,Value
LOW,WINNER_NOT_FOUND,T-ddbf5100f8ad,SECI,material tender closed with no winner found yet,50.0
HIGH,POSSIBLE_DUPLICATE,ddbf5100f8ad,SECI,same reference number on two records,SECI/CP/TD/2020/TN/50
LOW,WINNER_NOT_FOUND,ddbf5100f8ad,SECI,material tender closed with no winner found yet,50.0
LOW,WINNER_NOT_FOUND,T-b73faee82786,NTPC,material tender closed with no winner found yet,325.0
LOW,WINNER_NOT_FOUND,T-8e3a545ed34a,NTPC,material tender closed with no winner found yet,1000.0
HIGH,POSSIBLE_DUPLICATE,c3748d37b9db,SECI,same reference number on two records,SECI/CP/PMC/11/0001/2021-22
LOW,WINNER_NOT_FOUND,T-eacd77e62ed2,NTPC,material tender closed with no winner found yet,300.0
LOW,WINNER_NOT_FOUND,T-357ba8a91f7b,NTPC,material tender closed with no winner found yet,720.0
LOW,WINNER_NOT_FOUND,T-df1323d2d006,NTPC,material tender closed with no winner found yet,150.0
LOW,WINNER_NOT_FOUND,T-2f4e5ec41e99,NTPC,material tender closed with no winner found yet,500.0
HIGH,POSSIBLE_DUPLICATE,78e284189cb2,SECI,same reference number on two records,SECI/CP/AD/13/0002/21-22
HIGH,POSSIBLE_DUPLICATE,fccb9a8c8ab9,SECI,same reference number on two records,SECI/CP/PMC/11/0002/2021-22
HIGH,POSSIBLE_DUPLICATE,f6f612cd83e0,SECI,same reference number on two records,SECI/CP/PMC/11/0003/2021-22
HIGH,POSSIBLE_DUPLICATE,b4cd2130db2b,SECI,same reference number on two records,SECI/CP/AD/13/0003/21-22
LOW,WINNER_NOT_FOUND,T-7d612748798b,NTPC,material tender closed with no winner found yet,500.0
HIGH,POSSIBLE_DUPLICATE,32749334772f,SECI,same reference number on two records,SECI/CP/IPP/17/0005/21-22
HIGH,POSSIBLE_DUPLICATE,c8c90fcb17e8,SECI,same reference number on two records,SECI/CP/IPP/17/0002/22-23
LOW,WINNER_NOT_FOUND,T-c4da5bef4fda,NTPC,material tender closed with no winner found yet,100.0
LOW,WINNER_NOT_FOUND,T-a6b2d538221c,NTPC,material tender closed with no winner found yet,200.0
LOW,WINNER_NOT_FOUND,T-dd471025347e,NTPC,material tender closed with no winner found yet,1255.0
HIGH,POSSIBLE_DUPLICATE,716463ee7e38,SECI,same reference number on two records,SECI/CP/MI/00/0004/2021-22
LOW,WINNER_NOT_FOUND,T-018adabb0d45,NTPC,material tender closed with no winner found yet,4750.0
HIGH,POSSIBLE_DUPLICATE,c0d4bff3b7ac,SECI,same reference number on two records,GEM/2022/B/2225359
HIGH,POSSIBLE_DUPLICATE,bf0530e4277a,SECI,same reference number on two records,GEM/2022/B/2225248
HIGH,POSSIBLE_DUPLICATE,1328b93d19ee,SECI,same reference number on two records,SECI/CP/MI/00/0006/2022-23
LOW,WINNER_NOT_FOUND,T-159554c06610,NTPC,material tender closed with no winner found yet,500.0
LOW,WINNER_NOT_FOUND,T-5846c1b846de,NTPC,material tender closed with no winner found yet,600.0
HIGH,POSSIBLE_DUPLICATE,032d5bc17b80,SECI,same reference number on two records,SECI/CP/PMC/11/0001/2022-23
LOW,WINNER_NOT_FOUND,T-20fef13eecc1,SECI,material tender closed with no winner found yet,100.0
HIGH,POSSIBLE_DUPLICATE,20fef13eecc1,SECI,same reference number on two records,SECI/CP/OP/17/002/21-22
LOW,WINNER_NOT_FOUND,20fef13eecc1,SECI,material tender closed with no winner found yet,100.0
LOW,WINNER_NOT_FOUND,T-1b30daa21ab6,SECI,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,1b30daa21ab6,SECI,same reference number on two records,SECI/CP/IPP/12/0006/21-22
LOW,WINNER_NOT_FOUND,1b30daa21ab6,SECI,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,ce3ef75a35f0,SECI,same reference number on two records,GEM/2022/B/2258520
HIGH,POSSIBLE_DUPLICATE,1d898d272463,SECI,same reference number on two records,GEM/2022/B/2302458
HIGH,POSSIBLE_DUPLICATE,6cbbd90197e0,SECI,same reference number on two records,GEM/2022/B/2270775
LOW,WINNER_NOT_FOUND,T-21a1d155e088,NTPC,material tender closed with no winner found yet,720.0
HIGH,POSSIBLE_DUPLICATE,e22abb5444fe,SECI,same reference number on two records,SECI/CP/IPP/17/0003/22-23
LOW,WINNER_NOT_FOUND,T-3b2c0083bc35,NTPC,material tender closed with no winner found yet,1000.0
LOW,WINNER_NOT_FOUND,T-d2e5e4e13e9f,NTPC,material tender closed with no winner found yet,300.0
LOW,WINNER_NOT_FOUND,T-d20ef432404a,SECI,material tender closed with no winner found yet,500.0
LOW,WINNER_NOT_FOUND,T-d2a00c098b6d,SECI,material tender closed with no winner found yet,1680.0
HIGH,POSSIBLE_DUPLICATE,d20ef432404a,SECI,same reference number on two records,SECI/CP/IPP/15/0001/22-23
LOW,WINNER_NOT_FOUND,d20ef432404a,SECI,material tender closed with no winner found yet,500.0
HIGH,POSSIBLE_DUPLICATE,d2a00c098b6d,SECI,same reference number on two records,SECI/CP/OP/11/0001/2022-23
LOW,WINNER_NOT_FOUND,d2a00c098b6d,SECI,material tender closed with no winner found yet,1680.0
HIGH,POSSIBLE_DUPLICATE,bc24acf73cdf,SECI,same reference number on two records,SECI/CP/PMC/11/0002/2022-23
LOW,WINNER_NOT_FOUND,T-a9ca3ef0c16a,NTPC,material tender closed with no winner found yet,4750.0
LOW,WINNER_NOT_FOUND,T-0760cff9bd32,NTPC,material tender closed with no winner found yet,250.0
HIGH,POSSIBLE_DUPLICATE,86d2f5943bc0,SECI,same reference number on two records,SECI/CP/OP/17/002/22-23
HIGH,POSSIBLE_DUPLICATE,eeeea6263f81,SECI,same reference number on two records,SECI/CP/OP/14/003/2022-23
HIGH,POSSIBLE_DUPLICATE,3adf19b06764,SECI,same reference number on two records,GEM/2022/B/2674510
HIGH,POSSIBLE_DUPLICATE,6ebd3aebd49e,SECI,same reference number on two records,SECI/CP/IPP/17/0008/21-22
HIGH,POSSIBLE_DUPLICATE,e42229ff0a1b,SECI,same reference number on two records,SECI/CP/EOI/17/0001/22-23
LOW,WINNER_NOT_FOUND,T-255a03e734ca,NTPC,material tender closed with no winner found yet,325.0
LOW,WINNER_NOT_FOUND,T-d9cb50fe38e5,NTPC,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,9a8847430031,SECI,same reference number on two records,SECI/CP/OP/14/004/2022-23
LOW,WINNER_NOT_FOUND,T-cc0184fe8f88,NTPC,material tender closed with no winner found yet,4750.0
LOW,WINNER_NOT_FOUND,T-1c6e9277976b,SECI,material tender closed with no winner found yet,2250.0
HIGH,POSSIBLE_DUPLICATE,1c6e9277976b,SECI,same reference number on two records,SECI/CP/IPP/13/0004/22-23
LOW,WINNER_NOT_FOUND,1c6e9277976b,SECI,material tender closed with no winner found yet,2250.0
HIGH,POSSIBLE_DUPLICATE,d9ca73bcce6b,SECI,same reference number on two records,SECI/CP/MI/00/0009/22-23
LOW,WINNER_NOT_FOUND,T-514c36db27e7,SECI,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,514c36db27e7,SECI,same reference number on two records,SECI/CP/IPP/13/0007/22-23
LOW,WINNER_NOT_FOUND,514c36db27e7,SECI,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,196aa5a75c78,SECI,same reference number on two records,SECI/CP/IPP/14/0005/22-23
LOW,WINNER_NOT_FOUND,T-d2ce9785cfa0,NTPC,material tender closed with no winner found yet,1000.0
LOW,WINNER_NOT_FOUND,T-a4d731ac2ccd,NTPC,material tender closed with no winner found yet,2000.0
LOW,WINNER_NOT_FOUND,T-d43b73fc9626,NTPC,material tender closed with no winner found yet,1000.0
HIGH,POSSIBLE_DUPLICATE,64b3db07f5ec,SECI,same reference number on two records,SECI/CP/MI/00/0010/2022-23
LOW,WINNER_NOT_FOUND,T-eb0e4ec9fe44,NTPC,material tender closed with no winner found yet,4750.0
HIGH,POSSIBLE_DUPLICATE,d9b39af22575,SECI,same reference number on two records,SECI/CP/MI/00/0011/2022-23
HIGH,POSSIBLE_DUPLICATE,ca0c285efc7f,SECI,same reference number on two records,SECI/CP/OP/17/005/22-23
LOW,WINNER_NOT_FOUND,T-4f73476dad9b,SECI,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,4f73476dad9b,SECI,same reference number on two records,SECI/CP/IPP/12/0008/22-23
LOW,WINNER_NOT_FOUND,4f73476dad9b,SECI,material tender closed with no winner found yet,1200.0
HIGH,POSSIBLE_DUPLICATE,d9767af89b90,SECI,same reference number on two records,SECI/CP/AD/13/0004/2022-23
LOW,WINNER_NOT_FOUND,T-79b966936bfc,NTPC,material tender closed with no winner found yet,2000.0
LOW,WINNER_NOT_FOUND,T-6b39b4e00ad2,NTPC,material tender closed with no winner found yet,755.0
LOW,WINNER_NOT_FOUND,T-7380c7d4f177,NTPC,material tender closed with no winner found yet,755.0
HIGH,POSSIBLE_DUPLICATE,6fe55cac44c1,SECI,same reference number on two records,SECI/CP/AD/13/0005/2022-23
HIGH,POSSIBLE_DUPLICATE,e00e88ac33bf,SECI,same reference number on two records,SECI/CP/MI/00/0012/2022-23
LOW,WINNER_NOT_FOUND,T-288d320b85c4,NTPC,material tender closed with no winner found yet,300.0
LOW,WINNER_NOT_FOUND,T-7ac04f44b40a,NTPC,material tender closed with no winner found yet,1000.0
LOW,WINNER_NOT_FOUND,T-4013f658dd66,NTPC,material tender closed with no winner found yet,310.0
LOW,WINNER_NOT_FOUND,T-cdbc138b65ad,NTPC,material tender closed with no winner found yet,500.0
LOW,WINNER_NOT_FOUND,T-d9b5a60369bc,SECI,material tender closed with no winner found yet,2000.0
HIGH,POSSIBLE_DUPLICATE,d9b5a60369bc,SECI,same reference number on two records,SECI/CP/IPP/11/0009/22-23
LOW,WINNER_NOT_FOUND,d9b5a60369bc,SECI,material tender closed with no winner found yet,2000.0
LOW,WINNER_NOT_FOUND,T-df199fab4f2b,SECI,material tender closed with no winner found yet,100.0
HIGH,POSSIBLE_DUPLICATE,df199fab4f2b,SECI,same reference number on two records,SECI/CP/OP/17/009/2023-24
LOW,WINNER_NOT_FOUND,df199fab4f2b,SECI,material tender closed with no winner found yet,100.0
HIGH,POSSIBLE_DUPLICATE,6450e1dc2745,SECI,same reference number on two records,GEM/2023/B/3569235
HIGH,POSSIBLE_DUPLICATE,8d0805a01920,SECI,same reference number on two records,GEM/2023/B/3568683
HIGH,POSSIBLE_DUPLICATE,af2b187c203e,SECI,same reference number on two records,SECI/CP/AD/EOI/17/0001/2023-24
LOW,WINNER_NOT_FOUND,T-0a102dcfeb9f,NTPC,material tender closed with no winner found yet,1500.0
HIGH,POSSIBLE_DUPLICATE,67f5f45642e8,SECI,same reference number on two records,GEM/2023/B/3752299
HIGH,POSSIBLE_DUPLICATE,dfa1062c1efc,SECI,same reference number on two records,SECI/CP/MI/00/0014/2023-24
LOW,WINNER_NOT_FOUND,T-de72af94b2a5,NTPC,material tender closed with no winner found yet,110.0
MEDIUM,CAPACITY_IMPLAUSIBLE,T-c88a6712deb0,SECI,"capacity above 5 GW, check the parsed unit",13000.0
LOW,WINNER_NOT_FOUND,T-c88a6712deb0,SECI,material tender closed with no winner found yet,13000.0
HIGH,POSSIBLE_DUPLICATE,c88a6712deb0,SECI,same reference number on two records,SECI/CP/MI/00/0013/2023-24
MEDIUM,CAPACITY_IMPLAUSIBLE,c88a6712deb0,SECI,"capacity above 5 GW, check the parsed unit",13000.0
LOW,WINNER_NOT_FOUND,c88a6712deb0,SECI,material tender closed with no winner found yet,13000.0
HIGH,POSSIBLE_DUPLICATE,9316f7921b2a,SECI,same reference number on two records,SECI/CP/AD/13/0005/2022-23/R1
LOW,WINNER_NOT_FOUND,T-c822f4218fa6,NTPC,material tender closed with no winner found yet,120.0
LOW,WINNER_NOT_FOUND,T-afafd16a6da5,NTPC,material tender closed with no winner found yet,1500.0
LOW,WINNER_NOT_FOUND,T-1b988946c0ae,SECI,material tender closed with no winner found yet,300.0
HIGH,POSSIBLE_DUPLICATE,1b988946c0ae,SECI,same reference number on two records,SECI/CP/OP/11/0006/2022-23
LOW,WINNER_NOT_FOUND,1b988946c0ae,SECI,material tender closed with no winner found yet,300.0
LOW,WINNER_NOT_FOUND,T-17e94642395f,SECI,material tender closed with no winner found yet,1000.0
HIGH,POSSIBLE_DUPLICATE,17e94642395f,SECI,same reference number on two records,SECI/CP/OP/11/008/2023-24
LOW,WINNER_NOT_FOUND,17e94642395f,SECI,material tender closed with no winner found yet,1000.0
HIGH,POSSIBLE_DUPLICATE,4490c885af54,SECI,same reference number on two records,SECI/CP/AD/13/0010/2023-24
LOW,WINNER_NOT_FOUND,T-9bfa3225b531,SECI,material tender closed with no winner found yet,1300.0
HIGH,POSSIBLE_DUPLICATE,9bfa3225b531,SECI,same reference number on two records,SECI/CP/IPP/12/0001/23-24
